Type	Product	Quantity	Weight (lbs)	Servings	Delivery Date	Month	Year	Pantry
Greens	Kale	3 large bags	0.75	4.00	6/30/20	Jun	2020	
Greens	Mixed Greens	2 large bags	0.5	2.67	6/30/20	Jun	2020	
Herbs	Basil	1 large bag	0.23	7.36	7/10/20	Jul	2020	
Herbs	Cilantro	3 large bags	0.37	11.84	7/10/20	Jul	2020	
Vegetables	Cucumbers	8	2.70	12.34	7/10/20	Jul	2020	
Herbs	Dill	9 small bags	0.39	12.48	7/10/20	Jul	2020	
Vegetables	Peppers	1	0.25	0.75	7/10/20	Jul	2020	
Greens	Kale	3 large bags	0.73	3.89	7/10/20	Jul	2020	
Vegetables	Peas	1 small bag	0.34	1.55	7/10/20	Jul	2020	
Herbs	Sage	4 small bags	0.11	3.52	7/10/20	Jul	2020	
Vegetables	Yellow squash	7	2.6	11.89	7/10/20	Jul	2020	
Vegetables	Zucchini	12	6.3	28.80	7/10/20	Jul	2020	
Vegetables	Cucumbers	6	1.40	6.40	7/14/20	Jul	2020	
Greens	Kale	2 large bags	0.75	4.00	7/14/20	Jul	2020	
Vegetables	Yellow squash	6	1.98	9.05	7/14/20	Jul	2020	
Vegetables	Zucchini	5	2.14	9.78	7/14/20	Jul	2020	
Vegetables	Beans	4 boxes	3.56	18.99	7/17/20	Jul	2020	
Vegetables	Tomatoes	4	0.06	0.15	7/17/20	Jul	2020	
Vegetables	Cucumbers	2	0.63	2.88	7/17/20	Jul	2020	
Vegetables	Yellow squash	13	5.11	23.36	7/17/20	Jul	2020	
Vegetables	Zucchini	4	1.7	7.77	7/17/20	Jul	2020	
Vegetables	Beans	1 large bag	1.91	10.19	7/20/20	Jul	2020	
Vegetables	Cucumbers	11	3.06	13.99	7/20/20	Jul	2020	
Vegetables	Eggplant	8	2.78	12.71	7/20/20	Jul	2020	
Vegetables	Peas	1 small bag	0.23	1.05	7/20/20	Jul	2020	
Vegetables	Yellow squash	11	4.14	18.93	7/20/20	Jul	2020	
Vegetables	Zucchini	11	6.02	27.52	7/20/20	Jul	2020	
Herbs	Basil	2 large bags	0.36	11.52	7/24/20	Jul	2020	
Vegetables	Beans	3 boxes	2.04	10.88	7/24/20	Jul	2020	
Vegetables	Cucumbers	12	3.26	14.90	7/24/20	Jul	2020	
Greens	Kale	3 large bags	1.45	7.73	7/24/20	Jul	2020	
Vegetables	Tomatoes	.5 boxes	0.56	1.41	7/24/20	Jul	2020	
Vegetables	Yellow squash	3	1.11	5.07	7/24/20	Jul	2020	
Vegetables	Zucchini	11	6.25	28.57	7/24/20	Jul	2020	
Vegetables	Beans	3 boxes	1.79	9.55	7/28/20	Jul	2020	
Vegetables	Cucumbers	7	2.21	10.10	7/28/20	Jul	2020	
Vegetables	Eggplant	3	0.98	4.48	7/28/20	Jul	2020	
Vegetables	Tomatoes	1 box	1.2	3.02	7/28/20	Jul	2020	
Vegetables	Yellow squash	12	5.66	25.87	7/28/20	Jul	2020	
Vegetables	Zucchini	10	8.57	39.18	7/28/20	Jul	2020	
Herbs	Basil	1.5 large bags	0.19	6.08	8/1/20	Aug	2020	
Vegetables	Beans	1 large box	0.8	4.27	8/1/20	Aug	2020	
Vegetables	Cucumbers	10	8.28	37.85	8/1/20	Aug	2020	
Vegetables	Eggplant	3	0.89	4.07	8/1/20	Aug	2020	
Vegetables	Peppers	3	0.56	1.69	8/1/20	Aug	2020	
Vegetables	Tomatoes	3 pint + 1 large	3.19	8.04	8/1/20	Aug	2020	
Vegetables	Yellow squash	10	5.61	25.65	8/1/20	Aug	2020	
Vegetables	Zucchini	4	4.83	22.08	8/1/20	Aug	2020	
Vegetables	Beans	..5 large box	0.42	2.24	8/4/20	Aug	2020	
Vegetables	Cucumbers	13	6.49	29.67	8/4/20	Aug	2020	
Vegetables	Tomatoes	1 large box + 2	1.24	3.12	8/4/20	Aug	2020	
Vegetables	Yellow squash	1	0.5	2.29	8/4/20	Aug	2020	
Vegetables	Zucchini	5	4.1	18.74	8/4/20	Aug	2020	
Vegetables	Beans	1 small box	0.51	2.72	8/7/20	Aug	2020	
Vegetables	Cucumbers	8	3.31	15.13	8/7/20	Aug	2020	
Vegetables	Peppers	3 bell	0.48	1.45	8/7/20	Aug	2020	
Vegetables	Peppers	3 banana	0.12	0.36	8/7/20	Aug	2020	
Vegetables	Tomatoes	1 XL box	2.15	5.42	8/7/20	Aug	2020	
Vegetables	Tomatoes	12	4.48	11.29	8/7/20	Aug	2020	
Vegetables	Tomatoes	13	1.84	4.64	8/7/20	Aug	2020	
Vegetables	Yellow squash	7	4.1	18.74	8/7/20	Aug	2020	
Vegetables	Zucchini	9	7.8	35.66	8/7/20	Aug	2020	
Vegetables	Beans	1 large box	0.63	3.36	8/10/20	Aug	2020	
Vegetables	Cucumbers	2	1.20	5.49	8/10/20	Aug	2020	
Vegetables	Tomatoes	1 lg box, 1 sm box	2.1	5.29	8/10/20	Aug	2020	
